0    "НОРМАЛЬНОЕ ЗАВЕРШЕНИЕ"
513  "СИНТАКСИЧЕСКАЯ ОШИБКА В ВЫРАЖЕНИИ"
514  "НЕПРАВИЛЬНОЕ КОЛИЧЕСТВО ПАРАМЕТРОВ ФУНКЦИИ"
515  "ВВЕДЕНО ПРЕДЕЛЬНО ДОПУСТИМОЕ КОЛИЧЕСТВО ЭЛЕМЕНТОВ"
516  "ДУБЛИРОВАНИЕ ИМЕН НЕ ДОПУСКАЕТСЯ"
517  "ВВЕДЕННОЕ АПРИОРНОЕ ЗНАЧЕНИЕ ВНЕ ДОПУСТИМОГО ДИАПАЗОНА"
518  "НЕВЕРНО ЗАДАН ДИАПАЗОН ВОЗМОЖНЫХ ЗНАЧЕНИЙ"
519  "К СПЕЦИАЛЬНОМУ АТРИБУТУ МОЖНО ОПРЕДЕЛИТЬ ТОЛЬКО ОДИН ПРОСТОЙ ВОПРОС"
520  "НЕЛЬЗЯ УНИЧТОЖАТЬ ЧАСТЬ СЛОЖНОГО ВОПРОСА"
521  "К ЭТОЙ ЦЕЛИ ПРАВИЛА НЕ ОПРЕДЕЛЕНЫ"
522  "НЕ ОПРЕДЕЛЕН СЛОЖНЫЙ ВОПРОС"
523  "ОШИБКА: УНИЧТОЖЕНА ЧАСТЬ СЛОЖНОГО ВОПРОСА"
524  "СЛОЖНЫЙ ВОПРОС УЖЕ ОПРЕДЕЛЕН"
525  "ДОЛЖНО БЫТЬ ЗАДАНО СООБЩЕНИЕ"
526  "ПРЕВЫШЕНА ДОПУСТИМАЯ ДЛИНА СООБЩЕНИЯ"
527  "УРОВЕНЬ ВЫДАЧИ ДОЛЖЕН БЫТЬ В ИНТЕРВАЛЕ ОТ -5.0 ДО 5.0"
528  "АБВГДЕЖЗИЙКЛМНОПРСТУФЦХЧШЩЬЫЪЭЮЯабвгдежзийклмнопрстуфцхчшщьыъэюя"
529  "ДЛИННОЕ ВЫРАЖЕНИЕ 'ЕСЛИ': используйте более короткие имена"
530  "ДЛИННОЕ ВЫРАЖЕНИЕ 'ТО': используйте более короткие имена"
531  "ВСЕ ЗНАЧЕНИЯ АТРИБУТА ДОЛЖНЫ БЫТЬ УНИЧТОЖЕНЫ"
601  "ПРОВЕРКА СЦЕНАРИЯ"
602  "НЕТ СЦЕНАРИЯ"
603  "Предложение %d (%s) : ошибка в имени действия"
604  "Предложение %d (%s) : ошибка в метке перехода"
605  "Предложение %d (%s) : не заданы параметры"
606  "Предложение %d (%s) : ошибка в условии - "
607  "Предложение %d (%s) : ошибка в параметре %d - должна быть цель или симв.атр."
608  "Предложение %d (%s) : неопределенная цель %d"
609  "неопределенная цель"
610  "неопределенный элемент, выражение следует ввести заново"
611  "Предупреждение: "
612  "Количество обнаруженных ошибок :%d"
613  "ПРОВЕРКА СИМВОЛЬНЫХ АТРИБУТОВ"
614  "Символьный атрибут %d : имя не определено"
615  "Символьный атрибут %s "
616  " - нет значений"
617  " - значение %d - имя не определено"
618  " - значение %s"
619  " - нет правил"
620  "ПРОВЕРКА ЧИСЛОВЫХ АТРИБУТОВ"
621  "Числовой атрибут %d : имя не определено"
622  "Числовой aтрибут %s "
623  " - не заданы границы допустимых значений"
624  "ПРОВЕРКА ПРАВИЛ"
625  "Нет правил"
626  "Правило %d для <%s> "
627  " - имя не определено"
628  "Правило %s (цель '%s')"
629  " - действие не определено"
630  " - неправильный тип правила"
631  " - неправильная цель"
632  "  "
633  "Правило %d - нарушено соответствие целей и правил"
634  "Предложение %d (%s): ошибка в первом параметре - должна быть цель или число"
635  "Общее количество обнаруженных ошибок: %d"


1000 "неизв_числ_атрибут"
1001 "неизв_симв_атрибут"
1002 "неизв_утверждение"
1003 "неизв_цель"

2000 "  "
2001 "/Enter/ Создать или переименовать"
2002 " Редактировать/ Проверить/ Сохранить/ Выполнить/ Отчет/ Выход"
2003 "Редактировать символьные атрибуты модели "

2005 "Сохранить модель "
2006 "Выполнить модель "
2007 "Получить гипертекстовый и графический отчет по модели"
2008 "/F1/ Помощь /Esc/ Меню"
2009 "Символьные атрибуты"
2010 "Числовые атрибуты"
2011 "Сценарий"
2012 "/F1/ Помощь /Enter/ "
2013 "/F1/ Помощь /F2/ Шаблон /Tab/ Комм /Enter/ Значения /Gr +/ Переим /Del/ Удл /Esc/ Меню"
2014 "ОТ"
2015 "ИМЯ      :                       УМОЛЧ:              "
2016 "NLBQADРЛБПАД"
2017 "ЕСЛИ"
2018 "СЦЕНАРИЙ"
2019 "/F1/ Помощь /Tab/ Комм /Enter/ Загрузить /Gr +/ Переим /Del/ Удл /Esc/ Выход"
2020 "/F1/ Помощь /F2/ Утв /Tab/ Комм /Enter/ Правила /Gr +/ Переим /Del/ Удл /Esc/ С.Атр"
2021 "Длина текста превосходит допустимую"
2022 "Модель не скопирована на диск. Если уверены, нажмите /Enter/"
2023 "Модель скопирована на диск"
2024 "Редактировать числовые атрибуты модели "
2025 "Вернуться в окно моделей"
2026 "Редактировать сценарий модели "
2027 "/F1/ Помощь /F2/ Значение /Tab/ Комм /Enter/ Правила /Gr +/ Переим /Del/ Удл /Esc/ Меню"
2028 "СИМВОЛЬНЫЕ АТРИБУТЫ"
2029 "ЧИСЛОВЫЕ АТРИБУТЫ"
2030 "Сброс..."
2031 "МОДЕЛИ"
2032 "Сохранение..."
2033 "Проверка..."
2034 "ДО"
2035 "КОММЕНТАРИЙ"
2036 "Просмотр..."
2037 "Загрузка..."
2038 "ЗНАЧЕНИЯ СИМ АТРИБУТА"
2039 "ПРАВИЛА"
2040 "ЗНАЧЕНИЕ ЧИСЛ АТРИБУТА"
2041 "УТВЕРЖДЕНИЕ"
2042 "                          Для создания нового имени"
2043 "                                нажмите Спец +"
2044 "ПО УМОЛЧАНИЮ"
2045 "Превышен размер буфера"
2046 "ТО"
2047 "/F1/ Помощь /Tab/ Возврат "
2048 "СООБЩЕНИЕ"
2049 "/F1/ Помощь /Esc/ Возврат "
2050 "/F1/ Помощь // Влево // Вправо /Esc/ Возврат "
2051 "/F1/ Помощь /F3/ ->Буф /F4/ <-Буф /Tab/ Комм /Gr +/ Переим /Del/ Удл /Enter/ ЕслиТо /Esc/ Возвр"
2052 "/F1/ Помощь /F3/ Если /Esc/ Правила"
2053 "/F1/ Помощь /F3/ То   /Esc/ Правила"
2054 "/F1/ Помощь /F2/ Сообщение /F3/ Если /Esc/ Сценарий"
2055 "/F1/ Помощь /F3/ То   /Esc/ Сценарий"
2056 "// Передвинуть вверх // Передвинуть вниз "
2057 "строка: // двигать /D/ удалить /C/ копировать /Home/ начало /PgUp/ конец /Esc/ врем выход"
2058 "с краткой диагностикой"
2059 "с полной диагностикой"
2060 "ПРОТОКОЛ ПРОВЕРКИ"
2061 "Проверить модель с краткой диагностикой (без предупреждений)"
2062 "Проверить модель с полной диагностикой"
2063 "ШАБЛОН УТВЕРЖДЕНИЯ"
2064 "ОШИБКА ПРИ ОТКРЫТИИ ФАЙЛА"
2065 "ВНИМАНИЕ! НЕТ СВОБОДНОЙ ПАМЯТИ. СОХРАНИТЕ МОДЕЛЬ И ПОПРОБУЙТЕ СНОВА"
2066 "ВНУТРЕННЯЯ ОШИБКА. СОХРАНИТЕ МОДЕЛЬ И СВЯЖИТЕСЬ С РАЗРАБОТЧИКАМИ ЭКО"
2067 "строка: // двигать /D/ удалить /C/ копировать /Home/ начало /PgUp/ конец"
2068 "Модель будет удалена. Если уверены, нажмите /Enter/"

2071 "Первая буква может быть N,L,B,Q,A,D или Р,Л,Б,П,А,Д"
2072 "Нельзя изменять первую букву"
2073 "Сложные вопросы допустимы только для симв атрибута"

2076 "Успешное копирование в буфер"
2077 "Буфер пуст"

2100 "С.Атр. *"
2101 "Ч.Атр. *"
2102 "Утв.   *"
2103 "Утв.   [*.*]"
2104 "Сцен.  *"
2105 "Опер.  *"

2115 "Элементов, соответствующих указанному шаблону не найдено"

2200 " "
2201 "Загрузить контрольную точку "
2202 " Консультация/ Сброс/ Трасса/ Протокол/ Контр. точка/ Просмотр/ Выход"
2203 "Вход в консультацию"
2204 "Сбросить значения всех целей"
2205 "Установить режим трассировки"
2206 "Определить устройство вывода протокола"
2207 "Создать контрольную точку "
2208 "Просмотр целей текущей модели"
2209 "Конец консультации "
2210 "Сбросить значения целей, полученные путем вывода"
2211 "Сбросить режим трассировки"
2212 "Введите строку длиной не свыше 30 символов" 
2213 "/F1/ Помощь /F2/ Граф.объясн. /Esc/ меню /Enter/ КАК ? /Grey +/ изменить значение"
2214 "Просмотр  правил текущей модели"
2215 "Идет вывод..."
2216 "Выберите нужный вариант ответа"
2217 "ЦЕЛЬ И ПОДЦЕЛИ"
2218 "выход за границы диапазона"
2219 "Просмотр сценария текущей модели"
2220 "Сделайте выбор или нажмите /Esc/"
2221 "Дд"
2222 "Нн"
2223 "Ошибка. Введите распределение к-тов определенности"
2224 "Просмотр трассы"
2225 "Просмотр протокола консультации"
2226 "Введите распределение к-тов определенности (используйте /Grey +/)"
2227 "Переход в окно МОДЕЛИ"
2228 "ЦЕЛИ"
2229 "ПРАВИЛА"
2230 "Сброс..."
2231 "МОДЕЛИ"
2232 "=>НЕ ЗНАЮ"
2233 "=>ПОВТОРИТЕ ВОПРОС"
2234 "=>НАЧАЛО КОНСУЛЬТАЦИИ"
2235 "КОММЕНТАРИЙ"
2236 "Просмотр..."
2237 "ОПУЩЕНО ИМЯ МОДЕЛИ$"
2238 "Введите число в диапазоне от /       / до /       /"
2239 "Загрузить"
2240 "            "
2241 "ПОЛЬЗОВАТЕЛЬ"
2242 "                                Конец списка"
2243 "                                ------------"
2244 ". Нажмите клавиш"
2245 "Если уверены, нажмите /Enter/"
2246 "ПО УМОЛЧАНИЮ"
2247 "Создать"
2248 "КОНСУЛЬТАЦИЯ"
2249 "ТРАССА"
2250 "/F1/ Помощь /F2/ Граф.объясн. /Esc/ меню /Enter/ подцели"
2251 "/F1/ Помощь"
2252 "/F1/ Помощь /Esc/ меню /Enter/ выбрать модель для просмотра"
2253 "Введите коэффициент определенности (от -5.0 до 5.0) и нажмите /Enter/"
2254 "/F1/ Помощь /Esc/ возврат /Enter/ изменить значение"
2255 "Ошибка В-В"
2256 "Общий"
2257 "Вывода"
2258 "ОБЪЯСНЕНИЕ"
2259 "/F1/ помощь /Esc/ правила  /Enter/ показать цель"
2260 "=>КОНЕЦ КОНСУЛЬТАЦИИ"
2261 "Включена"
2262 "Выключена"
2263 "=>НАЧАЛО ОБЪЯСНЕНИЯ"
2264 "=>ЗАЧЕМ ?"
2265 "=>КОНЕЦ ОБЪЯСНЕНИЯ"
2266 "/F1/ помощь /Esc/ сценарий /Enter/ показать цель"
2267 "УТВ"
2268 "Ч.А"
2269 "АКТИВНА"
2270 "Модели"
2271 "/F1/ помощь /Tab/ вход в трассу /Esc/ завершение консультаци"
2272 "/F1/ помощь /Esc/ завершение консультаци"
2273 "EKO.ANS: "
2274 "не найден"
2275 "/F1/ помощь /F2/ НЕ ЗНАЮ /F4/ меню /F5/ ЗАЧЕМ ? /F6/ протокол /Tab/ трасса /Esc/ выход"
2276 "/F1/ помощь /F2/ НЕ ЗНАЮ /F4/ меню /F5/ ЗАЧЕМ ? /F6/ протокол /Esc/ выход"
2277 "Нельзя менять значения целей в момент задания к ним вопроса"
2278 "/F1/ помощь /F6/ продолжение консультации /Tab/ вход в трассу"
2279 "/F1/ помощь /F6/ продолжение консультации"
2280 "Введите имя контрольной точки : "
2281 "ПРЕДЛ:      "
2282 "Цели"
2283 "Правила"
2284 "Сценарий"
2285 "СЦЕНАРИЙ"
2286 "Сделано"
2287 "ИМЯ ЦЕЛИ───────────────────────────ТИП─ЗНАЧЕНИЕ─── КАК?"
2288 "                                                                              "
2289 "НЕ ВЫВОДИЛАСЬ"
2290 "НЕ ВЫВЕЛАСЬ"
2291 "НЕ ОТВЕЧЕНО"
2292 "Число в диапазоне от %.2f до %.2f (по умолч. %.2f)"
2293 "ПРИЕМ не состоялся: ошибка при открытии файла .Нажмите клавиш"
2294 "ПОДЦЕЛИ"
2295 "Подцелей нет."
2296 "/F1/ помощь /Tab/ возврат в консультацию"
2297 "/F1/ помощь /F5/ ЗАЧЕМ ? /F6/ просмотр объяснения /Esc/ завершение объяснения"
2298 "/F1/ помощь /F6/ продолжение объяснения "
2299 "/F1/ помощь /Esc/ возврат в консультацию"
2300 =>КОНТРОЛЬНАЯ ТОЧКА"
2301 "неправильный формат"
2302 "EHELP:неправильное число параметров"
2303 "EHELP:файл %s не найден"

2400 ""
2401 "░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░"
2402 "░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░"
2403 "░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░"
2404 "░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░"
2405 "░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░"
2406 "░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░"
2407 "░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░"
2408 "░░░░░░░░░░░░░░░░░░░░░░░░      ░░░     ░░░    ░░░      ░░░░░░░░░░░░░░░░░░░░░░░░░░░"
2409 "░░░░░░░░░░░░░░░░░░░░░░   ░░░░   ░░   ░░░   ░░░   ░░░░   ░░░░░░░░░░░░░░░░░░░░░░░░░"
2410 "░░░░░░░░░░░░░░░░░░░░░░░░░░░░░   ░░   ░░   ░░░░   ░░░░   ░░░░░░░░░░░░░░░░░░░░░░░░░"
2411 "░░░░░░░░░░░░░░░░░░░░░░░░░░      ░░       ░░░░░   ░░░░   ░░░░░░░░░░░░░░░░░░░░░░░░░"
